,loss,mean_absolute_error,mse,accuracy,val_loss,val_mean_absolute_error,val_mse,val_accuracy
0,0.001054016058333218,0.021954946219921112,0.001007708953693509,0.7042133212089539,0.0010586370481178164,0.02305448055267334,0.0010097278282046318,0.8085600137710571
1,0.0010816461872309446,0.022211257368326187,0.0010323907481506467,0.7067466378211975,0.0010222085984423757,0.022204164415597916,0.0009728771401569247,0.800000011920929
2,0.0010513865854591131,0.021874766796827316,0.0010010122787207365,0.7122933268547058,0.001044988282956183,0.02139829844236374,0.000999046373181045,0.8030400276184082
3,0.0010129520669579506,0.02152884192764759,0.0009644993115216494,0.7112266421318054,0.0010182705009356141,0.021162305027246475,0.0009692258317954838,0.7791200280189514
4,0.0010302060982212424,0.021660633385181427,0.0009786050068214536,0.7133066654205322,0.0011038718512281775,0.021726086735725403,0.00105675111990422,0.812720000743866
5,0.001008356106467545,0.021437250077724457,0.0009573147399351001,0.7107733488082886,0.0008568468620069325,0.02002151496708393,0.0008072804776020348,0.8091999888420105
6,0.0009878778364509344,0.021227136254310608,0.0009381084237247705,0.7152799963951111,0.0009061399032361805,0.020882736891508102,0.0008561434806324542,0.7834399938583374
7,0.0009749107994139194,0.021135501563549042,0.000925694708712399,0.7153599858283997,0.0008461831021122634,0.01963144727051258,0.000794549472630024,0.8006399869918823
8,0.0009362394339405,0.02071988396346569,0.000887963455170393,0.7162666916847229,0.0008786756079643965,0.02021823078393936,0.0008284608484245837,0.8106399774551392
9,0.0009617134346626699,0.02102269046008587,0.0009141832706518471,0.7149333357810974,0.0009247750858776271,0.02011292055249214,0.0008756504976190627,0.8154399991035461
